,gmap_id,Nombre,Estado,Promedio,Valoraciones,Categoria1,Categoria2,Categoria3,Categoria4,Categoria5,Takeout,Delivery,Asientos Discapacitados,Estacionamiento Discapacitados,Almuerzo,Cena,Comer Solo,Grupos,Turistas,Debito,NFC,Credito,Servicio Rapido
69778,0x87015050a62e9367:0x5cf2c86796200fe1,Sonic Drive-In,Texas,4.0,118.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
69779,0x864e70847ce6d0a9:0xe5852189da957a1e,Parilla Catracha,Texas,4.2,154.0,159.0,93.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
69780,0x864c293219aaadfd:0xe156a94cec3ef5f9,Taqueria Dulce,Texas,4.3,78.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
69781,0x864e7a8705e5b849:0x46f16cd994ec4065,Pelon's mini mart,Texas,4.3,38.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69803,0x8669ffcce78a4b73:0xfa924688c58807a5,Hurricane Junction Bar and Grill,Texas,4.0,58.0,48.0,159.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
69848,0x8647312b1ca28c09:0x65592dbeda90aee4,Shanghai bistro,Texas,4.2,56.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
69850,0x86450e56d6e13ead:0x8993ae995e01ef89,Doodsie's,Texas,4.6,14.0,159.0,21.0,61.0,151.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69888,0x864dd732ec62f2e1:0x305beaa11b0c5cb5,Falafel Haus,Texas,4.7,96.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69896,0x864c6570ef46aeab:0x118d79c0ffaa8485,Hana’s Cafe and Market,Texas,4.6,48.0,48.0,35.0,159.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
69958,0x8640b893d521ce13:0xd733ed5789313cc4,Lana's Fast Food,Texas,2.0,1.0,37.0,101.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69959,0x864736ea660e32ff:0xf2b59cddaa205929,Mi Cocina,Texas,3.4,47.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
69975,0x865c58b3856278af:0x9dd7598e537e97eb,Maderas Restaurant & Bar,Texas,1.7,3.0,193.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
69986,0x8640c9eefe1783ed:0xa798039f7ea15b74,Good Times,Texas,4.2,54.0,120.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
69992,0x86685f5feb071539:0x989b6a9722effc6a,Bonn A Petit,Texas,4.5,28.0,61.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69998,0x864093232417ddbb:0x92726cca232089fd,Country Place Cafe,Texas,4.7,157.0,55.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
70000,0x8640ea79a2f19185:0xeb4841f7f5f8c183,Two Brothers Smokin' Oak Kitchen,Texas,4.6,38.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70004,0x8640d73543d7a081:0x3b5ea046edf0a9a8,Starbucks,Texas,4.1,94.0,48.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
70008,0x86e759d497f77a85:0x4307ae9c6d85d1b7,Podium Finish Cafe,Texas,4.7,108.0,37.0,159.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
70009,0x8640eb179688e50b:0x2d9f0a1c4211114b,El Costeñito,Texas,4.8,25.0,37.0,159.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70056,0x8665a7c5b5735e11:0x2a1cdf8ea5d5d4d5,Cocinita café,Texas,4.2,74.0,37.0,11.0,35.0,152.0,14.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70057,0x8665a97469bb7707:0x949ba70830b0b039,THERESITAS 2 MEXICAN RESTAURANT & GRILL,Texas,4.5,48.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70058,0x8665a79c7bb3c7d5:0x6159c085e74117f,Theresitas Mexican Restaurant,Texas,4.5,56.0,55.0,86.0,48.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
70062,0x865c6110d456fdc7:0x1bacd205aa99d359,Subway,Texas,4.3,48.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
70063,0x8665a6cd3b48aadb:0x8ed61d09ca0a38f8,Masterpiece Cafe,Texas,4.6,17.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70064,0x865c6131429d9d9b:0x9618067d40201344,Walmart Bakery,Texas,3.0,2.0,21.0,59.0,35.0,81.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70087,0x86411c7bc81dcf17:0x5a33c0f27c3ae5b6,Speedy Stop,Texas,3.6,18.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70117,0x8668614996f784db:0xc65d754deed92510,EL CANELO MEXICAN RESTAURANT,Texas,4.8,18.0,13.0,159.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70156,0x8639336a38f9b9a5:0x3cfc98cb19081516,Baskin-Robbins,Texas,4.4,58.0,184.0,164.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70158,0x865c5201fd5f9d49:0xa4985dcd99f70e9b,Pepes Molino,Texas,4.5,14.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70203,0x86490cd50de06459:0x1fb57a812d5d9906,Little Jewel Inc,Texas,5.0,2.0,116.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70218,0x8641270a03652ce5:0x637fa5f76cfa8f63,Cafe del Sol,Texas,4.3,298.0,37.0,101.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70231,0x865b55027f3574af:0x613d87fca46d5c78,Louisiana Crab Shack,Texas,3.7,207.0,174.0,159.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70232,0x865ca9d920cea22f:0x10daab754a5fb797,OMG seafood,Texas,4.2,226.0,21.0,22.0,13.0,81.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70242,0x8641223e7e4719b5:0x67c067466a62e11,Craft Burger,Texas,4.1,108.0,164.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
70243,0x8640bf3ad66fffff:0x4a5947299d5604e7,Brasa's Brazilian Steakhouse,Texas,4.6,68.0,159.0,21.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
70244,0x8640bf9642ac438d:0xbf0942e828f27e4b,Yong,Texas,4.4,24.0,19.0,159.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
70245,0x8640c7a8daf957b9:0x3f35ee48dbbd256b,Houston Barber School,Texas,4.0,38.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70248,0x8640bfd31e61ec51:0x7078ea6eb90a245,Understory Bar,Texas,3.0,2.0,48.0,68.0,48.0,68.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70251,0x864c16a34b4a7f55:0x2fcad9927e94f27e,Golden Pot,Texas,3.9,183.0,159.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
70254,0x864c19c7d2713ab3:0x6a04b334d804ce39,Noodle China,Texas,4.2,98.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
70292,0x86568e9e2b3ae7ad:0x2485b955a30f3877,Domino's Pizza,Texas,4.1,325.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70300,0x86568e9c4d587a37:0xbd6c36d8a303628d,Luigi's Burgers & Subs,Texas,4.2,36.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70301,0x865cb92749c5096b:0x77d35940e8e6e80a,Burger King,Texas,1.7,8.0,61.0,59.0,63.0,64.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70303,0x864e736c40df69d5:0x628bd5a9e9e98f8,Ascension Coffee - Fort Worth,Texas,4.8,85.0,32.0,11.0,37.0,14.0,103.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
70309,0x8640c3b67092268b:0xdcd27f1bd797ba7e,Lazeeza Restaurant,Texas,3.6,198.0,19.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70310,0x8640c71c534dea0d:0x1359013b6573a15a,Domino's Pizza,Texas,4.0,198.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70312,0x8640c4962ecb0431:0xe39a2d3218700b68,Potato Corner,Texas,4.1,97.0,68.0,22.0,159.0,81.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
70315,0x863f5c2ebf144f57:0xaf9968e2a9ee0ff4,Cryer Pools & Spas Inc,Texas,4.2,98.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70316,0x864081a8fc5dee33:0x582381790553a2d1,Red Dirt & Blue Jeans Cafe,Texas,4.3,53.0,113.0,86.0,98.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
70343,0x86e75307d3388081:0xcae84a545daf65df,Tsunami Sushi,Texas,4.5,125.0,144.0,159.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70423,0x8640c18fc249a7ff:0x3d942065a4e96b15,Fusion Eats,Texas,4.2,104.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
70425,0x8640db84539431c3:0xf49f0aeae3195957,Mrs. Donuts,Texas,4.7,158.0,61.0,26.0,81.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
70443,0x864f83a3a6021f59:0x6b24b00028c0de09,San Diego,Texas,4.2,114.0,61.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
70473,0x864e9ded5e52de31:0xf6d1f1e0c7e5673e,Domino's Pizza,Texas,4.0,225.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70484,0x864c22cbbb26fcc3:0x117530469146fba5,369 Chinese BBQ,Texas,4.2,308.0,48.0,34.0,35.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70485,0x864c3bc1168bb423:0x2aa881f23d178074,Curry 'N' Biryani,Texas,4.2,128.0,55.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
70486,0x864c2032efb911e5:0x84a097496729fd1b,La Michoacana Meat Market,Texas,3.7,187.0,103.0,108.0,37.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
70487,0x864c13bc09e60f17:0x98ebb14ecab1ffb5,Subway,Texas,3.7,146.0,14.0,159.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
70505,0x8644ca055ff23f25:0xe5b2fe6214af0df7,Subway,Texas,3.9,178.0,61.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
70507,0x87014ecbf121df97:0x656d34df4ea6e70c,Texas Chicken Bowl,Texas,4.8,218.0,184.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
70508,0x8644ca061a9bbd05:0x9b8fcc7b4b4949df,Papa John's Pizza,Texas,2.9,148.0,14.0,11.0,49.0,152.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70512,0x864d011937baa96b:0x977e09d1573ab3d0,Subway,Texas,3.5,184.0,159.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
70513,0x864736eabd0dc6a9:0x53fdae43c7266a23,Great Wraps,Texas,3.4,25.0,37.0,35.0,159.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
70514,0x86472556c9bfc281:0x2bf78a0b12ea121b,Snowflake Donuts 1,Texas,4.7,18.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70574,0x8640b7d657a6ebfd:0x1f2e0874179daf51,Shell,Texas,3.8,15.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70577,0x8640c98eb732464b:0x5c9768bf80d0f567,Resie's Chicken & Waffles,Texas,3.9,18.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70579,0x8706856d2269db87:0x1b7958b72d5f72fc,Starbucks,Texas,5.0,2.0,65.0,159.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70586,0x8640bfdd9153c78f:0x1baea7b944833e0f,Katrachitas,Texas,5.0,8.0,163.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
70587,0x8640cf1d6134be73:0x541210f5610c3a23,Limeños Restaurant (Pupuseria),Texas,4.6,108.0,48.0,21.0,35.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
70589,0x8640c17d610b4113:0x4315ad6bb7e51250,Adam's Bite,Texas,4.9,217.0,32.0,163.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
70590,0x8640ef4d9e97db97:0x3be569efc994091e,The Bluebonnet Grille,Texas,4.3,38.0,48.0,59.0,159.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
70591,0x8640dc558509ca87:0x456ed05c8ae76219,Royal Point,Texas,4.4,138.0,4.0,31.0,159.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
70592,0x8640ebe8486945f3:0x5eb0e9a757599ca0,Tienda San Miguel,Texas,4.4,48.0,48.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70593,0x86409bea72881c13:0x883fc6066f13f699,Between Us Tea Room,Texas,5.0,3.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70595,0x863f9f7a560cdc45:0x5aafe215ffeb0afc,Salvitas,Texas,4.5,27.0,48.0,32.0,55.0,59.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
70596,0x8640c54d55d67acf:0x23d019019322615f,Mi Casa de Sabor Bar & Grill,Texas,4.7,15.0,166.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70597,0x863f79d8d13fd24d:0x7736227c144599ff,Michoacana,Texas,3.7,8.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70598,0x86409733bffdc98b:0x9ec74a197b603763,Taqueria Campo Azul,Texas,4.9,8.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70601,0x865bc0f7d56bffff:0x9266fae9ea25423c,La Bergerie,Texas,4.8,48.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
70602,0x8644c5806c256d4f:0x10f1ae4700c0fa7d,Shell,Texas,3.7,27.0,159.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70605,0x865c634634bf1f57:0x84de06c7f4375fd,Yuur Burger,Texas,3.5,18.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70606,0x8644d15eeae8c6ef:0x46d8824a36963768,Redd's Piano Bar and Lounge,Texas,4.8,8.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
70608,0x865cf541f6ecac17:0xe636dd0af77a944e,Subway,Texas,3.5,48.0,4.0,21.0,91.0,48.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
70609,0x865c63802cc13fdd:0xd6c42643691e51a1,Full Belly Cafe + Bar,Texas,4.7,128.0,4.0,21.0,16.0,91.0,86.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
70610,0x865c63372c0ec539:0x7f466be0bee8c6e1,Don Adolfo's Bar & Grill,Texas,4.5,98.0,48.0,35.0,159.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
70634,0x864e9db013f9988b:0xeecf01c3980dfef5,Subway,Texas,4.4,33.0,4.0,21.0,91.0,48.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
70641,0x864dd59a0826c857:0xea0375ebbe73a0c7,Quick Thai Bistro,Texas,4.3,73.0,157.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70642,0x864e83c3c2fe49c5:0x773a2ec808649d0e,Domino's Pizza,Texas,1.6,18.0,32.0,55.0,48.0,59.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70671,0x8640e75398b7aa8f:0x4f8d596e7af3715c,Lal Qila,Texas,3.1,36.0,34.0,35.0,4.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70672,0x86411ff66faaacb3:0xbe2b4e2d8eb584a3,Smoothie King,Texas,4.1,24.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
70707,0x86370d42f3c85029:0x9849d51c79f4f6e7,Express Stop,Texas,3.5,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70731,0x8640bf619dbe178d:0x1269862c28ff5d1b,Papa John's Pizza,Texas,3.2,158.0,32.0,163.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70768,0x8635f9fd471391b1:0xa3554f998ecbc7e1,H & R Distributors,Texas,4.9,15.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70769,0x8635fdfb46acfffb:0x940628dec149e42d,Taco K,Texas,4.4,58.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
70786,0x864e7654687602a9:0x8ff139eef3ceb91,Shell,Texas,3.6,18.0,37.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70805,0x864708bf6d4493a1:0x93bc753547d72d10,Zach's Bar & Grill,Texas,4.0,108.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70806,0x8640c2b0f34785c3:0x9eafe8d654d5659c,San Miguelito Mexican Restaurant,Texas,4.2,168.0,32.0,163.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
70819,0x86fbcfa5dc47164f:0xe1df19169c845080,Domino's Pizza,Texas,3.4,143.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70831,0x864e862484327e61:0xc63df69096844e47,Mr. Sugar Rush,Texas,4.9,504.0,159.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70834,0x8640e69450caed81:0xf082419af933f25f,Jamba Sugar Land,Texas,3.9,48.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
70835,0x8640e19db8b829e9:0x2f871a98133e3b64,Popeyes,Texas,3.1,54.0,32.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
70838,0x8635fa1987c55ae5:0x61d914d85625397f,Arby's,Texas,4.1,318.0,48.0,35.0,159.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
70840,0x865b351f524baa57:0x6cb997b1ea3397ba,Shell,Texas,3.7,55.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70842,0x863689407db11d47:0x8f98cab11bc1cc1b,Taste of Caddo,Texas,4.3,168.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
70866,0x86409fa0e3b74ec5:0x10c029fd749ff690,Carl's Jr.,Texas,3.5,24.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70868,0x863f6055ce79869f:0xf5c230f080da9c54,Domino's Pizza,Texas,4.3,177.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70871,0x863f604c0fa40651:0x9747d2a5281d77a8,Quiznos,Texas,4.1,45.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
70872,0x863f60592ccccbaf:0xe2e8a5d50bff9977,Mainly Drinks,Texas,4.4,108.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70873,0x863f604ea9712327:0xf972b78b2537aabc,La Perla Italian Grill & Seafood,Texas,3.9,25.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70874,0x863f60ff7d2d2d91:0x7107fba5f0ac2e0f,Pho Thanh Van,Texas,4.3,95.0,37.0,61.0,159.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70886,0x863f604bbde4b5b3:0x86c03dad55c44a1e,Mesquite Grill & Taco Factory,Texas,4.2,38.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70887,0x865c5fa1bc4d68a5:0xafc3521c67d0da70,Burger King,Texas,3.4,456.0,4.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
